Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
apr;17-04-1998;;Puyo Puyo Sun;Win;Puzzle;
apr;29-04-1998;;Real Bout Fatal Fury 2: The Newcomers;Neo;Fighting;
apr;29-04-1998;;Shining Force III Scenario 2 – Target: Child of God;Sat;Tactical role-playing;
apr;29-04-1998;;Super Tempo;Sat;Platform;
apr;30-04-1998;;Bomberman Hero;N64;Platform;
apr;30-04-1998;;Might and Magic VI: The Mandate of Heaven;Win;Role-playing;
apr;30-04-1998;;World Cup 98;Win;Sports (soccer);
maj;07-05-1998;;Jazz Jackrabbit 2;Win;Platform;
maj;18-05-1998;;World Cup 98;N64;Sports (soccer);
maj;21-05-1998;;Baroque;Sat;Role-playing;
maj;22-05-1998;;Unreal;Win;First-person shooter;
maj;28-05-1998;;Radiant Silvergun;Arcade;Shoot 'em up;
maj;28-05-1998;;The King of Fighters '97;PS1;Fighting;
jun;04-06-1998;;Atelier Marie Plus;PS1;Role-playing;
jun;04-06-1998;;International Superstar Soccer 98;N64;Sports (soccer);
jun;04-06-1998;;Vigilante 8;PS1;Vehicular combat;
jun;11-06-1998;;Super Gem Fighter Mini Mix;PS1;Fighting;
jun;12-06-1998;;Wetrix;N64;Puzzle;
jun;24-06-1998;;Commandos: Behind Enemy Lines;Win;Real-time tactics;
jun;25-06-1998;;Castlevania: Symphony of the Night;Sat;Action-adventure;
jun;29-06-1998;;Banjo-Kazooie;N64;Platform;
jun;30-06-1998;;Deep Fear;Sat;Survival horror;
jun;30-06-1998;;N2O: Nitrous Oxide;PS1;Shoot 'em up;
jul;04-07-1998;;Heart of Darkness;PS1;Platform;
jul;09-07-1998;;FIFA 99;PS1;Sports (soccer);
